ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
6116;T001540;CRI1122;GM1680;2018JJ00;25;       .
6117;T001540;CRI1122;GM1680;2019JJ00;50;       .
6118;T001540;CRI1122;GM1680;2020JJ00;20;       .
6119;T001540;CRI1122;GM1680;2021JJ00;30;       .
6128;T001540;CRI1122;GM0738;2018JJ00;5;       .
6129;T001540;CRI1122;GM0738;2019JJ00;;
6130;T001540;CRI1122;GM0738;2020JJ00;;
6131;T001540;CRI1122;GM0738;2021JJ00;;
6140;T001540;CRI1122;GM0358;2018JJ00;75;       .
6141;T001540;CRI1122;GM0358;2019JJ00;70;       .
6142;T001540;CRI1122;GM0358;2020JJ00;40;       .
6143;T001540;CRI1122;GM0358;2021JJ00;50;       .
6152;T001540;CRI1122;GM0197;2018JJ00;20;       .
6153;T001540;CRI1122;GM0197;2019JJ00;65;       .
6154;T001540;CRI1122;GM0197;2020JJ00;25;       .
6155;T001540;CRI1122;GM0197;2021JJ00;20;       .
6164;T001540;CRI1122;GM0305;2018JJ00;;
6165;T001540;CRI1122;GM0305;2019JJ00;;
6166;T001540;CRI1122;GM0305;2020JJ00;;
6167;T001540;CRI1122;GM0305;2021JJ00;;
6176;T001540;CRI1122;GM0059;2018JJ00;30;       .
6177;T001540;CRI1122;GM0059;2019JJ00;15;       .
6178;T001540;CRI1122;GM0059;2020JJ00;15;       .
6179;T001540;CRI1122;GM0059;2021JJ00;20;       .
6188;T001540;CRI1122;GM0482;2018JJ00;30;       .
6189;T001540;CRI1122;GM0482;2019JJ00;30;       .
6190;T001540;CRI1122;GM0482;2020JJ00;25;       .
6191;T001540;CRI1122;GM0482;2021JJ00;30;       .
6200;T001540;CRI1122;GM0613;2018JJ00;70;       .
6201;T001540;CRI1122;GM0613;2019JJ00;95;     3.8
6202;T001540;CRI1122;GM0613;2020JJ00;75;       .
6203;T001540;CRI1122;GM0613;2021JJ00;70;       .
6212;T001540;CRI1122;GM0361;2018JJ00;565;     5.2
6213;T001540;CRI1122;GM0361;2019JJ00;470;     4.3
6214;T001540;CRI1122;GM0361;2020JJ00;305;     2.8
6215;T001540;CRI1122;GM0361;2021JJ00;425;     3.9
6224;T001540;CRI1122;GM0141;2018JJ00;385;     5.3
6225;T001540;CRI1122;GM0141;2019JJ00;375;     5.2
6226;T001540;CRI1122;GM0141;2020JJ00;280;     3.8
6227;T001540;CRI1122;GM0141;2021JJ00;355;     4.8
6236;T001540;CRI1122;GM0034;2018JJ00;400;     2.0
6237;T001540;CRI1122;GM0034;2019JJ00;425;     2.0
6238;T001540;CRI1122;GM0034;2020JJ00;465;     2.2
6239;T001540;CRI1122;GM0034;2021JJ00;400;     1.9
6248;T001540;CRI1122;GM0484;2018JJ00;430;     3.9
6249;T001540;CRI1122;GM0484;2019JJ00;370;     3.3
6250;T001540;CRI1122;GM0484;2020JJ00;420;     3.8
6251;T001540;CRI1122;GM0484;2021JJ00;475;     4.2
6260;T001540;CRI1122;GM1723;2018JJ00;10;       .
6261;T001540;CRI1122;GM1723;2019JJ00;15;       .
6262;T001540;CRI1122;GM1723;2020JJ00;5;       .
6263;T001540;CRI1122;GM1723;2021JJ00;15;       .
6272;T001540;CRI1122;GM1959;2018JJ00;;
6273;T001540;CRI1122;GM1959;2019JJ00;40;       .
6274;T001540;CRI1122;GM1959;2020JJ00;90;       .
6275;T001540;CRI1122;GM1959;2021JJ00;45;       .
6284;T001540;CRI1122;GM0060;2018JJ00;5;       .
6285;T001540;CRI1122;GM0060;2019JJ00;10;       .
6286;T001540;CRI1122;GM0060;2020JJ00;0;     0.0
6287;T001540;CRI1122;GM0060;2021JJ00;5;       .
6296;T001540;CRI1122;GM0307;2018JJ00;590;     3.8
