id,province,municipality_id,municipality,theft,year,count
6116,Drenthe,GM1680,Aa en Hunze,bike theft,2018,25.0
6117,Drenthe,GM1680,Aa en Hunze,bike theft,2019,50.0
6118,Drenthe,GM1680,Aa en Hunze,bike theft,2020,20.0
6119,Drenthe,GM1680,Aa en Hunze,bike theft,2021,30.0
11996,Drenthe,GM1680,Aa en Hunze,moped theft,2018,0.0
11997,Drenthe,GM1680,Aa en Hunze,moped theft,2019,0.0
11998,Drenthe,GM1680,Aa en Hunze,moped theft,2020,5.0
11999,Drenthe,GM1680,Aa en Hunze,moped theft,2021,0.0
17876,Drenthe,GM1680,Aa en Hunze,motorcycle/scooter theft,2018,0.0
17877,Drenthe,GM1680,Aa en Hunze,motorcycle/scooter theft,2019,0.0
17878,Drenthe,GM1680,Aa en Hunze,motorcycle/scooter theft,2020,0.0
17879,Drenthe,GM1680,Aa en Hunze,motorcycle/scooter theft,2021,0.0
23756,Drenthe,GM1680,Aa en Hunze,car,2018,0.0
23757,Drenthe,GM1680,Aa en Hunze,car,2019,0.0
23758,Drenthe,GM1680,Aa en Hunze,car,2020,0.0
23759,Drenthe,GM1680,Aa en Hunze,car,2021,0.0
35516,Drenthe,GM1680,Aa en Hunze,boat theft,2018,0.0
35517,Drenthe,GM1680,Aa en Hunze,boat theft,2019,0.0
35518,Drenthe,GM1680,Aa en Hunze,boat theft,2020,0.0
35519,Drenthe,GM1680,Aa en Hunze,boat theft,2021,0.0
59036,Drenthe,GM1680,Aa en Hunze,animal theft,2018,0.0
59037,Drenthe,GM1680,Aa en Hunze,animal theft,2019,0.0
59038,Drenthe,GM1680,Aa en Hunze,animal theft,2020,0.0
59039,Drenthe,GM1680,Aa en Hunze,animal theft,2021,0.0
64916,Drenthe,GM1680,Aa en Hunze,street robbery,2018,0.0
64917,Drenthe,GM1680,Aa en Hunze,street robbery,2019,0.0
64918,Drenthe,GM1680,Aa en Hunze,street robbery,2020,0.0
64919,Drenthe,GM1680,Aa en Hunze,street robbery,2021,0.0
70796,Drenthe,GM1680,Aa en Hunze,pickpocketing,2018,0.0
70797,Drenthe,GM1680,Aa en Hunze,pickpocketing,2019,0.0
70798,Drenthe,GM1680,Aa en Hunze,pickpocketing,2020,0.0
70799,Drenthe,GM1680,Aa en Hunze,pickpocketing,2021,0.0
94316,Drenthe,GM1680,Aa en Hunze,shoplifting,2018,5.0
94317,Drenthe,GM1680,Aa en Hunze,shoplifting,2019,5.0
94318,Drenthe,GM1680,Aa en Hunze,shoplifting,2020,15.0
94319,Drenthe,GM1680,Aa en Hunze,shoplifting,2021,5.0
135476,Drenthe,GM1680,Aa en Hunze,heist,2018,0.0
135477,Drenthe,GM1680,Aa en Hunze,heist,2019,0.0
135478,Drenthe,GM1680,Aa en Hunze,heist,2020,0.0
135479,Drenthe,GM1680,Aa en Hunze,heist,2021,0.0
6128,Noord-Brabant,GM0738,Aalburg,bike theft,2018,5.0
6129,Noord-Brabant,GM0738,Aalburg,bike theft,2019,
6130,Noord-Brabant,GM0738,Aalburg,bike theft,2020,
6131,Noord-Brabant,GM0738,Aalburg,bike theft,2021,
12008,Noord-Brabant,GM0738,Aalburg,moped theft,2018,0.0
12009,Noord-Brabant,GM0738,Aalburg,moped theft,2019,
12010,Noord-Brabant,GM0738,Aalburg,moped theft,2020,
12011,Noord-Brabant,GM0738,Aalburg,moped theft,2021,
17888,Noord-Brabant,GM0738,Aalburg,motorcycle/scooter theft,2018,0.0
17889,Noord-Brabant,GM0738,Aalburg,motorcycle/scooter theft,2019,
17890,Noord-Brabant,GM0738,Aalburg,motorcycle/scooter theft,2020,
17891,Noord-Brabant,GM0738,Aalburg,motorcycle/scooter theft,2021,
23768,Noord-Brabant,GM0738,Aalburg,car,2018,0.0
23769,Noord-Brabant,GM0738,Aalburg,car,2019,
23770,Noord-Brabant,GM0738,Aalburg,car,2020,
23771,Noord-Brabant,GM0738,Aalburg,car,2021,
35528,Noord-Brabant,GM0738,Aalburg,boat theft,2018,0.0
35529,Noord-Brabant,GM0738,Aalburg,boat theft,2019,
35530,Noord-Brabant,GM0738,Aalburg,boat theft,2020,
35531,Noord-Brabant,GM0738,Aalburg,boat theft,2021,
