id,province,municipality,year,animal theft,bike theft,boat theft,car theft,moped theft,motorcycle/scooter theft,heist,pickpocketing,shoplifting,street robbery
0106,Drenthe,Assen,2018,5,375,0,15,35,5,5,20,135,15
0106,Drenthe,Assen,2019,0,410,0,10,55,15,0,25,235,5
0106,Drenthe,Assen,2020,5,275,0,5,55,10,0,15,170,10
0106,Drenthe,Assen,2021,0,385,0,5,40,5,0,20,110,5
0109,Drenthe,Coevorden,2018,0,110,0,15,15,0,0,5,20,0
0109,Drenthe,Coevorden,2019,0,115,0,10,15,0,0,0,30,0
0109,Drenthe,Coevorden,2020,0,60,5,5,5,0,0,0,25,0
0109,Drenthe,Coevorden,2021,0,60,0,5,5,0,0,0,20,0
0114,Drenthe,Emmen,2018,0,235,0,15,25,0,5,20,170,5
0114,Drenthe,Emmen,2019,0,260,0,20,35,0,5,25,190,10
0114,Drenthe,Emmen,2020,0,255,0,10,60,0,0,30,225,5
0114,Drenthe,Emmen,2021,0,325,5,20,50,0,0,15,185,5
0118,Drenthe,Hoogeveen,2018,0,110,0,5,10,0,5,10,95,5
0118,Drenthe,Hoogeveen,2019,0,155,0,5,10,0,5,5,130,0
0118,Drenthe,Hoogeveen,2020,0,135,0,5,20,0,0,0,70,0
0118,Drenthe,Hoogeveen,2021,0,130,0,5,10,0,0,5,60,0
0119,Drenthe,Meppel,2018,0,60,5,10,10,0,0,5,30,0
0119,Drenthe,Meppel,2019,0,80,0,10,5,0,5,0,40,0
0119,Drenthe,Meppel,2020,0,55,0,5,5,0,0,5,40,0
0119,Drenthe,Meppel,2021,0,60,0,5,10,0,0,5,35,0
1680,Drenthe,Aa en Hunze,2018,0,25,0,0,0,0,0,0,5,0
1680,Drenthe,Aa en Hunze,2019,0,50,0,0,0,0,0,0,5,0
1680,Drenthe,Aa en Hunze,2020,0,20,0,0,5,0,0,0,15,0
1680,Drenthe,Aa en Hunze,2021,0,30,0,0,0,0,0,0,5,0
1681,Drenthe,Borger-Odoorn,2018,0,15,0,0,0,0,0,0,5,0
1681,Drenthe,Borger-Odoorn,2019,0,15,0,5,0,0,5,0,10,0
1681,Drenthe,Borger-Odoorn,2020,0,15,0,5,5,0,0,0,5,0
1681,Drenthe,Borger-Odoorn,2021,0,15,0,0,0,0,0,5,10,0
1690,Drenthe,De Wolden,2018,0,10,0,0,0,0,0,0,5,0
1690,Drenthe,De Wolden,2019,0,5,0,0,0,0,0,0,0,0
1690,Drenthe,De Wolden,2020,0,10,0,0,5,0,0,0,5,0
1690,Drenthe,De Wolden,2021,0,10,0,0,0,0,0,0,5,0
1699,Drenthe,Noordenveld,2018,0,45,0,5,0,0,0,0,20,0
1699,Drenthe,Noordenveld,2019,0,30,0,0,5,0,0,0,20,0
1699,Drenthe,Noordenveld,2020,0,30,0,0,0,0,0,0,20,0
1699,Drenthe,Noordenveld,2021,0,25,0,0,0,0,0,0,15,0
1701,Drenthe,Westerveld,2018,0,10,0,0,0,0,0,0,5,0
1701,Drenthe,Westerveld,2019,0,5,0,0,0,0,0,0,0,0
1701,Drenthe,Westerveld,2020,0,0,0,0,0,0,0,0,5,0
1701,Drenthe,Westerveld,2021,0,5,0,0,0,0,0,0,0,0
1730,Drenthe,Tynaarlo,2018,0,35,0,5,0,0,0,5,10,0
1730,Drenthe,Tynaarlo,2019,0,40,0,5,10,0,0,5,15,0
1730,Drenthe,Tynaarlo,2020,0,25,0,0,5,0,0,0,25,0
1730,Drenthe,Tynaarlo,2021,0,45,0,0,10,0,0,0,25,0
1731,Drenthe,Midden-Drenthe,2018,0,30,0,0,0,0,0,5,25,0
1731,Drenthe,Midden-Drenthe,2019,0,40,0,0,5,0,0,5,15,0
1731,Drenthe,Midden-Drenthe,2020,0,25,0,0,0,0,0,0,25,0
1731,Drenthe,Midden-Drenthe,2021,5,50,0,5,0,0,0,0,5,0
0034,Flevoland,Almere,2018,0,400,10,90,210,30,20,115,720,80
0034,Flevoland,Almere,2019,0,425,10,115,280,30,20,75,775,100
0034,Flevoland,Almere,2020,0,465,5,80,175,40,35,80,625,115
0034,Flevoland,Almere,2021,0,400,10,60,180,45,15,70,455,75
0050,Flevoland,Zeewolde,2018,0,55,5,10,5,0,0,5,15,0
0050,Flevoland,Zeewolde,2019,0,40,0,5,5,0,0,5,20,0
0050,Flevoland,Zeewolde,2020,0,15,0,0,5,0,0,0,20,0
0050,Flevoland,Zeewolde,2021,0,20,0,0,0,0,0,0,20,0
